Study Status,Study Results,Interventions,Sex,Age,Phases,Enrollment,Funder Type,Study Design,Start Date,Completion Date
COMPLETED,NO,"RADIATION: [14C]AZD9833 Solution for Infusion, (NMT 22.8 kBq/5mL)|DRUG: AZD9833 film-coated tablet A Dose 1|DRUG: AZD9833 Oral Solution|DRUG: AZD9833 film-coated tablet B Dose 1|DRUG: AZD9833 film-coated tablet A Dose 2|DRUG: AZD9833 film-coated tablet B Dose 2",FEMALE,"ADULT, OLDER_ADULT",PHASE1,32,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-09-17,2021-01-07
RECRUITING,NO,DRUG: Paclitaxel|DRUG: Nilotinib,ALL,"ADULT, OLDER_ADULT",PHASE2,70,NIH,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-10-13,2031-12-30
NOT_YET_RECRUITING,NO,DRUG: chidamide combined with fulvestrant,FEMALE,"ADULT, OLDER_ADULT",PHASE2,23,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-05-01,2024-11-01
RECRUITING,NO,OTHER: patient education,FEMALE,"ADULT, OLDER_ADULT",NA,52,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2022-07-01,2023-04-01
RECRUITING,NO,OTHER: rhomboid intercostal block|OTHER: serratus anterior plane block,FEMALE,ADULT,PHASE2|PHASE3,60,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2022-09-01,2022-12-30
RECRUITING,NO,BEHAVIORAL: Motivational Interviewing (MI)|BEHAVIORAL: Cognitive Behavioural Therapy (CBT)|BEHAVIORAL: Hypnotherapy|DRUG: Nicotine Replacement Therapy (NRT),ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-09-29,2023-09
NOT_YET_RECRUITING,NO,BIOLOGICAL: Fluzone Quadrivalent,ALL,"ADULT, OLDER_ADULT",PHASE1,18,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-02-01,2025-12-31
RECRUITING,NO,PROCEDURE: RIB,FEMALE,"ADULT, OLDER_ADULT",NA,254,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2023-09-07,2025-01
WITHDRAWN,NO,BEHAVIORAL: Decision Making Support Tool,ALL,"ADULT, OLDER_ADULT",NA,0,OTHER,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: SCREENING,2022-01-04,2022-06-30
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: Oncolytic Virus CF33-expressing hNIS/Anti-PD-L1 Antibody,ALL,"ADULT, OLDER_ADULT",PHASE1,9,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-10-18,2024-09-22
