Study Status,Study Results,Interventions,Sex,Age,Phases,Enrollment,Funder Type,Study Design,Start Date,Completion Date
COMPLETED,NO,BIOLOGICAL: Allogenic pooled olfactory mucosa-derived mesenchymal stem cells|OTHER: Standard treatment according to the Clinical protocols,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,32,OTHER_GOV,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-05-11,2021-06-30
ACTIVE_NOT_RECRUITING,NO,DRUG: S-217622|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,2093,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2022-08-03,2024-05-24
UNKNOWN,NO,BIOLOGICAL: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector)|BIOLOGICAL: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,696,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-08-01,2021-12-30
UNKNOWN,NO,DRUG: MethylPREDNISolone 80 Mg/mL Injectable Suspension,ALL,"ADULT, OLDER_ADULT",PHASE2,20,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2020-04-14,2021-04-30
NOT_YET_RECRUITING,NO,BIOLOGICAL: COVI-MSC|BIOLOGICAL: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,60,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2024-02,2024-09
UNKNOWN,NO,BIOLOGICAL: Mesenchymal Stromal Cells infusion,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,10,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-07-25,2020-12-30
COMPLETED,NO,DIAGNOSTIC_TEST: Take home saliva kits,ALL,"CHILD, ADULT, OLDER_ADULT",NA,120,OTHER,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2021-09-14,2022-06-30
NOT_YET_RECRUITING,NO,BIOLOGICAL: LVRNA009|BIOLOGICAL: CoronaVac®,ALL,"ADULT, OLDER_ADULT",PHASE3,1100,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2023-04,2024-10
UNKNOWN,NO,DIETARY_SUPPLEMENT: propolis,ALL,ADULT,NA,45,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-05-15,2021-08-15
ACTIVE_NOT_RECRUITING,NO,DRUG: RSLV-132|DRUG: Sodium Chloride 0.9%,ALL,"ADULT, OLDER_ADULT",PHASE2,70,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-06-25,2023-03-31
RECRUITING,NO,OTHER: Virtual vs On Site Pulmonary Rehabilitation,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-02-02,2025-02-02
TERMINATED,NO,BIOLOGICAL: Asunercept|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,34,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-11-03,2023-08-18
WITHDRAWN,NO,BIOLOGICAL: UC-MSCs|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",NA,0,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-02-24,2020-02-25
RECRUITING,NO,DEVICE: Transcranial Direct Current Stimulation (tDCS)|BEHAVIORAL: Motor Training|BEHAVIORAL: Cognitive Training,ALL,"ADULT, OLDER_ADULT",PHASE2,48,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2023-08-25,2024-06-28
TERMINATED,NO,DRUG: UNIKINON (Chloroquine phosphate) 200mg tablets,ALL,"ADULT, OLDER_ADULT",PHASE2,29,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2020-04-06,2020-11-30
WITHDRAWN,NO,"BIOLOGICAL: candidate vaccine, SCB-2020S",ALL,"ADULT, OLDER_ADULT",PHASE2,0,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2021-08,2022-04
UNKNOWN,NO,OTHER: Concentrated rehabilitation for patients with persistent symptoms post COVID-19,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-03-01,2023-12-30
